w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var,J,call_number
1,-1,1,0,0,-1,0,0,-1,0,-1,0.98,15.63,-23.06,-3.64857,1
1,1,-1,1,0,0,-1,-1,0,0,-1,0.68,9.02,-23.53,-3.1604600000000005,2
1,-1,-1,0,0,1,0,1,1,0,-1,0.94,13.31,-24.54,-3.6635299999999997,3
1,0,0,-1,-1,-1,1,0,1,-1,0,1.07,19.33,-25.48,-4.09071,4
-1,1,0,-1,0,-1,1,0,0,1,1,0.91,12.79,-23.97,-3.56289,5
-1,0,0,1,1,1,0,0,1,0,-1,0.78,11.24,-25.31,-3.5019199999999997,6
-1,-1,-1,0,0,-1,-1,-1,1,1,0,0.95,16.28,-29.17,-4.2034400000000005,7
1,0,1,1,0,-1,0,1,0,0,-1,0.71,9.19,-23.12,-3.15869,8
0,0,1,1,1,-1,-1,-1,1,-1,0,0.69,9.15,-25.27,-3.33509,9
-1,1,0,0,1,-1,0,0,-1,1,0,0.98,13.45,-22.45,-3.5161499999999997,10
1,1,0,-1,-1,0,-1,0,1,-1,-1,0.68,9.83,-25.13,-3.33601,11
0,1,-1,0,-1,0,-1,-1,0,0,1,0.46,5.7,-25.13,-2.97146,12
-1,-1,-1,-1,0,0,-1,-1,-1,1,1,0.88,13.93,-26.41,-3.79727,13
-1,1,-1,1,0,-1,0,0,1,0,0,0.69,9.71,-24.79,-3.31053,14
0,0,-1,0,-1,1,0,1,0,1,1,0.88,13.85,-27.63,-3.90671,15
-1,0,1,1,-1,-1,1,1,0,-1,1,0.82,11.69,-24.64,-3.49603,16
0,0,1,1,1,-1,0,1,-1,-1,1,0.64,8.13,-22.65,-3.0083499999999996,17
0,-1,1,1,0,1,-1,-1,1,1,1,0.74,10.8,-25.29,-3.44468,18
0,1,1,1,1,1,0,0,1,1,-1,0.87,12.36,-24.87,-3.59064,19
-1,0,0,1,-1,-1,0,-1,0,1,1,0.63,9.08,-26.28,-3.36556,20
-1,0,0,0,-1,0,1,0,1,0,0,1.11,20.84,-28.93,-4.50096,21
0,1,1,-1,0,0,1,-1,1,0,-1,0.58,6.78,-22.4,-2.8781,22
1,1,1,-1,0,0,1,-1,-1,-1,-1,0.58,6.95,-23.34,-2.97053,23
0,0,0,1,1,-1,-1,1,0,-1,-1,0.87,11.67,-23.29,-3.42113,24
-1,1,-1,1,0,-1,0,-1,0,-1,-1,0.66,9.16,-25.84,-3.3578799999999998,25
0,-1,-1,0,-1,1,-1,0,0,1,-1,1.03,16.58,-26.36,-4.03542,26
-1,1,1,1,-1,-1,-1,0,-1,1,-1,0.85,12.65,-25.78,-3.66451,27
1,0,1,-1,0,1,-1,-1,1,1,-1,0.66,8.18,-23.33,-3.0926599999999995,28
0,0,1,-1,-1,-1,0,1,-1,1,0,0.91,13.87,-26.39,-3.8233300000000003,29
-1,-1,-1,1,0,0,0,0,1,-1,0,1.03,16.6,-27.82,-4.17044,30
-1,-1,0,-1,-1,-1,1,-1,-1,1,1,0.83,13.13,-27.69,-3.8370300000000004,31
0,0,0,-1,1,1,-1,-1,1,0,0,0.68,8.59,-23.13,-3.1086099999999997,32
1,0,1,1,1,0,1,1,0,-1,1,0.83,11.0,-23.73,-3.39816,33
1,0,1,0,-1,-1,-1,0,-1,0,0,0.52,6.38,-23.53,-2.9080600000000003,34
0,0,1,0,-1,0,1,0,1,-1,0,0.76,10.34,-24.36,-3.36302,35
1,0,0,0,0,1,-1,-1,0,1,0,0.77,10.58,-24.09,-3.35658,36
-1,1,1,-1,0,0,0,0,-1,-1,-1,1.15,20.56,-25.1,-4.1788,37
1,1,0,1,1,0,0,-1,-1,0,0,0.76,9.77,-22.58,-3.1793099999999996,38
-1,1,1,-1,1,1,1,-1,1,0,1,0.77,10.68,-23.36,-3.29292,39
1,1,1,1,1,0,-1,0,1,-1,0,0.81,10.95,-23.61,-3.3653700000000004,40
-1,0,1,1,-1,1,0,0,1,0,0,0.74,12.11,-28.8,-3.81345,41
1,-1,-1,0,-1,0,0,1,1,1,1,0.92,13.01,-24.28,-3.6091100000000003,42
1,-1,0,0,-1,0,0,1,1,0,-1,0.91,13.52,-25.99,-3.7742799999999996,43
-1,1,1,-1,1,-1,-1,-1,-1,1,1,0.89,12.02,-23.46,-3.4690200000000004,44
0,1,1,1,-1,0,-1,0,-1,0,0,0.56,7.29,-25.06,-3.12067,45
-1,-1,0,-1,0,-1,-1,0,0,-1,-1,1.15,23.81,-28.8,-4.63295,46
-1,1,0,0,1,-1,1,0,-1,0,1,0.76,9.96,-22.76,-3.2025200000000003,47
0,1,0,1,0,1,0,-1,-1,-1,-1,0.82,11.05,-23.7,-3.38715,48
-1,1,0,1,1,0,1,1,0,-1,-1,0.97,13.5,-23.17,-3.57414,49
-1,-1,-1,1,1,-1,-1,-1,0,0,1,0.68,9.44,-25.65,-3.3702,50
-1,-1,-1,-1,-1,0,-1,0,0,0,1,0.88,15.4,-29.72,-4.15324,51
-1,-1,0,-1,1,-1,-1,0,0,-1,-1,1.15,23.65,-29.07,-4.65219,52
-1,-1,-1,0,1,-1,1,0,0,1,1,1.25,23.01,-26.1,-4.45655,53
-1,-1,0,-1,1,-1,1,0,1,-1,0,1.3,24.12,-25.4,-4.481,54
-1,0,0,0,1,0,-1,0,1,-1,-1,1.12,16.85,-24.14,-3.9306300000000003,55
-1,-1,0,-1,1,-1,0,0,-1,-1,1,0.99,18.03,-27.48,-4.14921,56
-1,-1,1,-1,1,-1,0,0,0,1,0,0.95,13.44,-23.26,-3.56032,57
-1,0,0,-1,-1,0,1,0,0,-1,-1,1.24,25.72,-29.06,-4.81372,58
-1,0,-1,-1,-1,0,1,0,-1,1,0,1.1,21.69,-29.69,-4.59063,59
-1,0,1,-1,-1,1,0,0,1,-1,-1,0.93,14.93,-26.92,-3.92919,60
-1,-1,0,-1,1,1,1,0,0,0,-1,1.18,20.48,-24.79,-4.17748,61
-1,-1,0,0,-1,1,1,0,0,-1,-1,1.24,25.13,-28.92,-4.78019,62
-1,0,0,1,-1,0,1,0,0,-1,-1,1.02,18.14,-26.52,-4.09474,63
-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,1.23,25.6,-28.35,-4.7342,64
-1,0,0,0,-1,-1,-1,0,0,-1,-1,1.12,22.92,-29.53,-4.63896,65
-1,-1,0,0,-1,-1,1,0,0,-1,1,1.03,18.87,-27.1,-4.18365,66
-1,-1,-1,-1,-1,0,-1,0,0,1,-1,1.26,27.0,-30.38,-4.99996,67
-1,-1,0,-1,-1,0,0,1,0,-1,0,0.87,15.25,-29.35,-4.10395,68
-1,-1,-1,0,-1,0,1,0,0,-1,-1,1.25,25.87,-28.54,-4.78113,69
-1,-1,0,-1,-1,1,-1,1,0,1,0,1.07,19.05,-27.61,-4.276870000000001,70
-1,0,-1,-1,-1,-1,0,0,0,1,-1,1.17,24.42,-29.64,-4.751580000000001,71
-1,-1,-1,-1,-1,-1,0,0,0,1,0,1.22,26.31,-31.05,-4.99745,72
-1,-1,-1,-1,-1,-1,0,0,0,0,0,1.22,26.09,-31.16,-4.99987,73
-1,-1,0,0,-1,1,0,0,0,1,-1,0.9,14.98,-28.0,-4.0003,74
-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1.18,25.2,-30.86,-4.90112,75
-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1.26,26.88,-29.95,-4.9562,76
-1,-1,-1,-1,-1,0,0,0,0,1,-1,1.2,25.7,-30.77,-4.930339999999999,77
-1,-1,-1,-1,-1,0,0,0,1,1,0,1.05,19.28,-30.11,-4.4949200000000005,78
-1,-1,0,-1,0,-1,0,0,0,0,-1,1.31,28.08,-28.75,-4.9378,79
-1,-1,0,-1,-1,-1,1,0,0,0,-1,1.26,26.02,-29.27,-4.86354,80
-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0.89,16.35,-28.94,-4.12473,81
-1,-1,-1,0,-1,1,1,-1,0,-1,-1,0.8,13.09,-28.69,-3.8976300000000004,82
-1,-1,0,-1,-1,0,1,0,0,1,0,1.19,23.14,-28.58,-4.6292599999999995,83
-1,-1,-1,0,0,-1,0,0,0,-1,0,1.2,24.68,-28.46,-4.68212,84
-1,1,1,-1,-1,1,0,1,0,1,0,0.83,11.98,-25.58,-3.60266,85
-1,-1,-1,0,0,-1,1,0,0,0,-1,1.25,25.18,-28.87,-4.78734,86
-1,-1,-1,-1,0,-1,1,0,0,0,-1,1.27,26.15,-29.1,-4.86245,87
-1,-1,-1,0,-1,-1,0,0,0,1,-1,1.18,24.87,-30.76,-4.88037,88
-1,-1,-1,-1,-1,-1,1,0,0,-1,0,1.16,23.97,-29.38,-4.70191,89
-1,-1,-1,-1,1,-1,0,0,0,1,0,1.41,29.5,-28.18,-5.03506,90
-1,-1,-1,-1,1,0,0,0,0,1,0,1.1,18.22,-26.91,-4.21342,91
